,AmountFunded,AmountRemaining,AmountBorrowed,BankDraftFeeAnnualRate,BidCount,BidMaximumRate,BorrowerMaximumRate,BorrowerRate,BorrowerState,Category,CreditGrade,DebtToIncomeRatio,Duration,GroupLeaderRewardRate,IsBorrowerHomeowner,LenderRate,LoanTermInMonths,PercentFunded,ProductSpecID,people_count,amount_sum,winningpeople_sum,Partially Participating_people_sum,win/totol,partial/totolpeople,outbid_money,0.3T_yield_max,0.6T_rate_max,0.9T_rate_mean,CreationDate_month,CreationDate_week,time_minute,weekofyear,TARGET
2,1000.0,0,1000.0,0.0,8,0.1513,0.1518,0.1518,14,0,7,0.02,10,0.0,0,0.1518,36,1,1,8,1063.81,7,1,0.875,0.125,0.0,0.0,0.0,0.36758333299999996,10,2,1200,43,-1
5,15000.0,0,15000.0,0.0,364,0.2195,0.29,0.23,16,0,6,0.39,10,0.01,0,0.22,36,1,1,270,42648.47,130,1,0.481481481,0.0037037040000000004,27615.42,0.275,0.2599,0.17774717,1,0,486,5,-1
7,1000.0,0,1000.0,0.0,28,0.1695,0.1775,0.17,6,0,6,0.03,3,0.0,1,0.17,36,1,1,22,2559.64,17,1,0.772727273,0.045454545,1556.37,0.0,0.1875,0.065884615,6,4,426,24,-1
8,3000.0,0,3000.0,0.0,124,0.2345,0.35,0.235,18,1,7,0.11,7,0.0,0,0.235,36,1,1,97,8971.48,39,1,0.402061856,0.010309278,5950.62,0.33,0.35,0.225815152,9,5,456,37,-1
15,3001.0,0,3001.0,0.0,42,0.3495,0.35,0.35,12,1,7,0.15,5,0.0,0,0.35,36,1,1,38,3032.45,41,1,1.078947368,0.026315789,0.0,0.361,0.0,0.0,12,2,1158,51,-1
16,2000.0,0,2000.0,0.0,76,0.2095,0.3009,0.21,19,4,6,0.31,7,0.0,0,0.21,36,1,1,62,6965.16,23,1,0.37096774200000004,0.016129031999999998,4962.61,0.29,0.3,0.241871429,6,0,1340,24,-1
17,2550.0,0,2550.0,0.0,33,0.2395,0.24,0.24,5,0,6,0.07,7,0.0,0,0.24,36,1,1,32,2650.0,31,0,0.96875,0.0,100.0,0.0,0.25,0.36758333299999996,12,0,866,50,-1
22,2500.0,0,2500.0,0.0,30,0.2195,0.23,0.23,32,0,6,0.27,7,0.01,0,0.22,36,1,1,30,2530.18,29,1,0.966666667,0.033333333,0.0,0.24100000000000002,0.24,0.36758333299999996,12,5,39,51,-1
25,3500.0,0,3500.0,0.0,88,0.1635,0.19,0.174,12,0,6,0.19,7,0.01,1,0.16399999999999998,36,1,1,66,8377.76,37,1,0.560606061,0.015151515,4875.0,0.0,0.18,0.08800000000000001,1,2,1148,2,-1
26,1500.0,0,1500.0,0.0,80,0.19899999999999998,0.29,0.1995,16,0,6,0.2,7,0.0,0,0.1995,36,1,1,70,5989.74,21,1,0.3,0.014285714,4449.38,0.27,0.26,0.19086,6,4,1349,22,-1
28,2800.0,0,2800.0,0.0,89,0.2476,0.33299999999999996,0.2481,15,4,7,0.09,7,0.0,0,0.2481,36,1,1,61,9142.58,29,1,0.47540983600000003,0.016393443,6294.16,0.344,0.34299999999999997,0.28485,6,3,1270,23,-1
29,4000.0,0,4000.0,0.0,31,0.27699999999999997,0.29,0.29,13,0,7,0.16,7,0.0125,0,0.2775,36,1,1,28,4196.59,30,1,1.071428571,0.035714286,0.0,0.0,0.3,0.36758333299999996,9,5,87,39,-1
30,1800.0,0,1800.0,0.0,21,0.1695,0.17,0.17,14,0,7,0.12,7,0.0,0,0.17,36,1,1,19,1840.56,20,1,1.052631579,0.052631579000000005,0.0,0.0,0.18,0.36758333299999996,10,0,403,40,-1
32,15000.0,0,15000.0,0.0,1,0.0595,0.06,0.06,5,0,7,0.12,7,0.0,0,0.06,36,1,1,1,15000.0,1,0,1.0,0.0,0.0,0.071,0.07,0.36758333299999996,12,3,1301,50,-1
33,1000.0,0,1000.0,0.0,32,0.2815,0.35,0.282,2,4,7,0.03,7,0.0,0,0.282,36,1,1,26,2325.57,12,1,0.46153846200000004,0.038461537999999997,1285.65,0.361,0.3499,0.2774,5,3,1193,22,-1
36,1000.0,0,1000.0,0.0,15,0.2295,0.23,0.23,11,0,6,0.2,10,0.0,0,0.23,36,1,1,15,1100.0,13,1,0.8666666670000001,0.066666667,50.0,0.0,0.0,0.36758333299999996,10,2,813,42,-1
37,6000.0,0,6000.0,0.0,70,0.2454,0.2459,0.2459,5,0,6,0.21,10,0.0,0,0.2459,36,1,1,65,6000.44,69,1,1.0615384620000001,0.015384615,0.0,0.2569,0.2559,0.36758333299999996,12,1,1125,51,-1
39,1650.0,0,1650.0,0.0,15,0.1695,0.17,0.17,13,0,7,0.08,5,0.0,0,0.17,36,1,1,13,1762.5,12,1,0.923076923,0.076923077,100.0,0.18100000000000002,0.18,0.36758333299999996,5,6,1099,20,-1
40,2000.0,0,2000.0,0.0,14,0.2295,0.23,0.23,13,0,6,0.15,7,0.0,0,0.23,36,1,1,13,2200.0,12,1,0.923076923,0.076923077,50.0,0.0,0.24,0.0,9,3,362,38,-1
43,3000.0,0,3000.0,0.0,14,0.3495,0.35,0.35,5,3,6,0.17,7,0.0,0,0.35,36,1,1,12,3929.03,13,1,1.083333333,0.083333333,0.0,0.361,0.36,0.36758333299999996,8,6,1370,32,-1
46,2000.0,0,2000.0,0.0,46,0.2485,0.28,0.26899999999999996,24,0,7,0.1,7,0.02,0,0.249,36,1,1,40,3460.65,26,1,0.65,0.025,1409.36,0.0,0.26,0.26,5,3,1288,20,-1
48,2000.0,0,2000.0,0.0,116,0.1742,0.27,0.2047,24,0,7,0.18,7,0.03,0,0.1747,36,1,1,80,10676.82,27,1,0.3375,0.0125,8642.55,0.23,0.24,0.188208696,4,4,417,14,-1
52,1000.0,0,1000.0,0.0,7,0.2495,0.265,0.25,1,0,7,0.14,3,0.0,0,0.25,36,1,1,6,1386.8,5,1,0.833333333,0.166666667,75.0,0.276,0.275,0.36758333299999996,9,3,968,36,-1
